epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.671,1.76555,18.1776,1.21197,0.4034,0.29793,0.23893,0.10413,2.33661,1.86741,1.84067,6.53595e-05,6.53595e-05,0.0673856
2,220.257,1.57113,9.83305,1.18758,0.51223,0.36208,0.36042,0.17614,2.01527,1.61678,1.59758,0.000115688,0.000115688,0.0341026
3,326.886,1.82903,4.64188,1.34317,0.5882,0.4001,0.42418,0.21122,1.98393,1.84895,1.54347,0.000149516,0.000149516,0.000803111
4,438.022,1.62945,6.7233,1.20949,0.57554,0.31024,0.36532,0.1749,2.07807,2.09593,1.59815,0.00012575,0.00012575,0.00012575
5,553.099,1.82694,5.31964,1.29684,0.57294,0.29739,0.3519,0.16851,2.06781,2.16582,1.59527,0.000101,0.000101,0.000101
6,642.109,1.20293,17.6095,0.86918,0.57294,0.29739,0.3519,0.16851,2.06781,2.16582,1.59527,7.625e-05,7.625e-05,7.625e-05
7,732.354,1.19562,16.1636,0.85282,0.51232,0.30791,0.3183,0.14566,2.1562,2.13354,1.65353,5.15e-05,5.15e-05,5.15e-05
