confidence,val_precision,val_recall,val_f1,hard_negative_fp_images,hard_negative_fp_detections,hard_negative_fp_image_rate
0.1,0.6692813001166363,0.9015546106829657,0.7682451484679688,5,8,0.25
0.2,0.7836922106342843,0.8722827531225086,0.8256177140878959,0,0,0.0
0.25,0.81912251883985,0.8574940207281425,0.8378690594214042,0,0,0.0
0.3,0.845178145322436,0.8399282487377093,0.8425450118872948,0,0,0.0
0.33,0.8588352976155117,0.8300633816523907,0.8442042108146945,0,0,0.0
0.35,0.8659572044032788,0.8229105766675525,0.843885251597395,0,0,0.0
0.377,0.8760166046031612,0.811834931765922,0.8427054716816946,0,0,0.0
0.4,0.8833421849494384,0.8029288039941032,0.8412181178285874,0,0,0.0
0.45,0.8984029668697623,0.7823829628162857,0.8363886811788724,0,0,0.0
0.5,0.9108631740719012,0.7601979803348392,0.8287384556961214,0,0,0.0
0.6,0.9330004498984918,0.6966439963448381,0.7976821045219674,0,0,0.0
0.7,0.9562785067259304,0.5677258116162057,0.7124701608516567,0,0,0.0
